Event Name in iView,Type of Crime,# Event Tracks ,# GC Passed/Observed,Lat/Long,Lat,Long,Notes
605 Gold Street,Armed Robbery,n/a,n/a,"39.307179101348794, -76.63970240225123",39.3071791,-76.6397024,
3000 Kentucky,Carjacking,3,3,"39.32399477086438, -76.57059520040359",39.32399477,-76.5705952,
19 Albermarle St.,Carjacking,n/a,n/a,"39.28940075662161, -76.60408283108711",39.28940076,-76.60408283,
1122 Comet Street,Homicide & Attempted Murder,1,0,"39.293111140898915, -76.60195157341637",39.29311114,-76.60195157,
2400 Maisel Ct. ,Shooting w/ Injury,0,0,"39.263262311214426, -76.64211037479313",39.26326231,-76.64211037,
400 E. Federal St.,Shooting w/ Injury,1,5,"39.308256509656836, -76.61053534458061",39.30825651,-76.61053534,"was ""in progress"""
1712 Presstman Street,Armed Robbery,1,2,"39.305646912648804, -76.64507727156882",39.30564691,-76.64507727,
1407 Bank Street,Armed Robbery,1,4,"39.28631493195245, -76.59791062924006",39.28631493,-76.59791063,
300 W. Lexington,Armed Robbery,0,0,"39.29193236046766, -76.62048580225172",39.29193236,-76.6204858,
3551 W. Caton,Homicide & Attempted Murder,6,6,"39.28789616036835, -76.67627321574585",39.28789616,-76.67627322,
3542 Clifton Ave.,Armed Robbery,4,0,"39.311350999791784, -76.67786828690988",39.311351,-76.67786829,
900 W. Baltimore St.,Armed Robbery,0,0,"39.28929974579496, -76.63250217341646",39.28929975,-76.63250217,
2700 The Alameda,Shooting w/ Injury,1,3,"39.321539476049345, -76.59131254458012",39.32153948,-76.59131254,
2300 Tioga Pkwy,Shooting w/ Injury,0,0,"39.32007228004851, -76.65452523108618",39.32007228,-76.65452523,
4600 Edmondson,Homicide & Attempted Murder,2,0,"39.29398801807373, -76.69423578776163",39.29398802,-76.69423579,
2900 Springhill Ave,Homicide & Attempted Murder,5,1,"39.331273351017764, -76.6635144599212",39.33127335,-76.66351446,
300 S. Franklintown Rd.,Homicide & Attempted Murder,15,0,"39.283975657158564, -76.65786097341667",39.28397566,-76.65786097,
1800 McHenry,Homicide & Attempted Murder,2,0,"39.28447576035509, -76.64497754458122",39.28447576,-76.64497754,
1509 N. Bentalou (200 Presstman Sup),Armed Robbery,1,3,"39.30557241457965, -76.65360137341604",39.30557241,-76.65360137,
4003 Frederick Ave,Armed Robbery,1,0,"39.281729752776215, -76.68231754458142",39.28172975,-76.68231754,
2000 Eagle St.,Armed Robbery,3,4,"39.281052026076715, -76.64740060225208",39.28105203,-76.6474006,
500 N. Schroeder,Armed Robbery,0,4,"39.294527934634885, -76.634295744581",39.29452793,-76.63429574,
1400 Lemmon St,Armed Robbery,7,1,"39.28608794043862, -76.63944598875784",39.28608794,-76.63944599,
800 Bentalou St,Armed Robbery,2,0,"39.29755672003705, -76.65362454458096",39.29755672,-76.65362454,
1800 W. Lombard St,Carjacking,,,"39.286542039630945, -76.64517320225191",39.28654204,-76.6451732,
1700 McCulloh St,Homicide & Attempted Murder,16,5,"39.305763814125555, -76.63203493108664",39.30576381,-76.63203493,
3100 Barclay St,Armed Robbery,0,0,"39.326610665388756, -76.61131081574476",39.32661067,-76.61131082,
39 E. Randall Street,Armed Robbery,0,0,"39.27160068356661, -76.61270705807578",39.27160068,-76.61270706,
4707 Old York Road,Armed Robbery,0,0,"39.345506134687064, -76.6076430580735",39.34550613,-76.60764306,
4000 Park Heights Ave,Armed Robbery,0,1,"39.33468084380887, -76.66329854642704",39.33468084,-76.66329855,
6200 E. Pratt,Armed Robbery,0,0,"39.291403115737815, -76.54087625545321",39.29140312,-76.54087626,
3824 Eastern Ave,Armed Robbery,2,0,"39.287211030571044, -76.56427851574593",39.28721103,-76.56427852,
2700 E. Fairmount Ave,Carjacking,0,0,"39.293525649542794, -76.5786548734164",39.29352565,-76.57865487,
3407 E. Lombard St.,Deferred,,,"39.29137544480995, -76.56900654458107",39.29137544,-76.56900654,
3000 Liberty Heights Ave (Sup),Homicide & Attempted Murder,11,0,"39.32264897646167, -76.66507428690957",39.32264898,-76.66507429,
499 Guilford Ave,Homicide & Attempted Murder,,,"39.29539422685039, -76.61120090225154",39.29539423,-76.6112009,was blank
2400 Pennsylvania Ave,Armed Robbery,0,2,"39.3094376054091, -76.6419567734159",39.30943761,-76.64195677,
600 E Chase Street,Shooting w/ Injury,14,5,"39.302988316572474, -76.6086994175926",39.30298832,-76.60869942,
2100 Sherwood Ave,Shooting w/ Injury,0,0,"39.314778188062185, -76.59876091574507",39.31477819,-76.59876092,
4915 Goodnow Rd,Homicide & Attempted Murder,5,5,"39.32652356848645, -76.54784967341533",39.32652357,-76.54784967,
1900 W. Pratt,Homicide & Attempted Murder,0,0,"39.285509649744625, -76.64714648875781",39.28550965,-76.64714649,
2500 Boarman Ave,Homicide & Attempted Murder,,,"39.34051703164332, -76.66411631574431",39.34051703,-76.66411632,was blank
300 Cathedral St,Armed Robbery,1,7,"39.29339984345512, -76.61699200225166",39.29339984,-76.616992,
1417 E Fayette St,Armed Robbery,0,0,"39.29292473153636, -76.59798001574576",39.29292473,-76.59798002,
1100 Granby Street,Carjacking,6,5,"39.289365641971386, -76.6006221157459",39.28936564,-76.60062212,
2500 Kirk Ave (Sup),Homicide & Attempted Murder,1,0,"39.3183292825845, -76.60204401574501",39.31832928,-76.60204402,
1600 Locust St (Sup),Homicide & Attempted Murder,3,6,"39.226982789798676, -76.58854054458298",39.22698279,-76.58854054,"was ""support for multiple locations"""
1800 McHenry (Sup),Homicide & Attempted Murder,2,0,"39.2844674561091, -76.64498827341654",39.28446746,-76.64498827,
1232 N. Broadway,Armed Robbery,7,2,"39.30490031617409, -76.59494327341605",39.30490032,-76.59494327,
200 S. Broadway,Armed Robbery,0,0,"39.28921533857455, -76.59399715992242",39.28921534,-76.59399716,
2100 N. Charles,Armed Robbery,0,0,"39.313495100740276, -76.61699558875708",39.3134951,-76.61699559,
3312 Reisterstown Rd. (Sup),Carjacking,2,7,"39.32500157010438, -76.65750342923884",39.32500157,-76.65750343,
4200 E. Fairmount Ave,Armed Robbery,4,3,"39.29406163563014, -76.56162574458106",39.29406164,-76.56162574,
1100 Myrtle Ave,Shooting w/ Injury,6,3,"39.29734462862162, -76.63028517156908",39.29734463,-76.63028517,"was ""support for multiple locations"""
400 E. 21st St,Shooting w/ Injury,0,5,"39.31363169545739, -76.61100425807452",39.3136317,-76.61100426,
4500 Moravia Rd,Shooting w/ Injury,10,0,"39.32867795487071, -76.55631841574463",39.32867795,-76.55631842,
2500 Edmondson,Homicide & Attempted Murder,2,1,"39.29510633940741, -76.65653418691035",39.29510634,-76.65653419,"was ""support for multiple locations"""
4200 Moravia Rd,Armed Robbery,0,0,"39.33145165316462, -76.5616406157446",39.33145165,-76.56164062,
3200 Jefferson St.,Armed Robbery,0,0,"39.29735053408406, -76.57216688691037",39.29735053,-76.57216689,"was ""support pre and post incident"""
2200 Mayfield Ave,Armed Robbery,1,0,"39.32904425887927, -76.58231737341534",39.32904426,-76.58231737,
3801 Liberty Heights Dr.,Armed Robbery,1,0,"39.32702306602603, -76.68162745992132",39.32702307,-76.68162746,
