Latitude,Longitude,events-metadata-0,events-metadata-1
39.285583,-76.654024,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28764,-76.654213,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28281,-76.630767,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.286295,-76.659092,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2823867,-76.6565,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2812783,-76.653933,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2816633,-76.650222,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.279738,-76.649682,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2832917,-76.646882,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2817417,-76.643742,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2758267,-76.643753,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.28323,-76.64075,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2818533,-76.638332,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.278071,-76.638888,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.279745,-76.635923,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2767483,-76.635428,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2770433,-76.631158,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2798567,-76.629337,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2809267,-76.632982,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2824017,-76.63495,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.284705,-76.633683,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2837833,-76.628857,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2826933,-76.626987,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3146933,-76.628522,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.316515,-76.632245,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.31374,-76.631568,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3174233,-76.647132,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3254317,-76.658517,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.323225,-76.661035,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3220517,-76.663293,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3197017,-76.662847,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3151817,-76.663505,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.31001,-76.661853,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3147867,-76.654407,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3128217,-76.656788,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.314965,-76.658478,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.32105,-76.65862,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.316685,-76.652553,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3167817,-76.653868,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3170917,-76.658473,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.285301,-76.630213,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3004083,-76.663372,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.297585,-76.659005,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2998067,-76.639065,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3138583,-76.660305,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2798083,-76.647242,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.3018,-76.635888,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.305475,-76.64387,BaltimoreMDWest,"Baltimore-Columbia-Towson, MD"
39.2954717,-76.597885,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.29566,-76.59346,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2933017,-76.587927,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.2954017,-76.579692,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3130267,-76.564748,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3214567,-76.56595,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.32439,-76.57264,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
39.3216983,-76.602362,BaltimoreMDEast,"Baltimore-Columbia-Towson, MD"
